serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
wthsftyK5vgu,39.35043,1601997917537,0.605351,-7,96065,49.53594,447.4337,52,550.5942,UefkqbOojs07AR21i0ix,1242,3,22.78985,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,38.80436,1598817917414,0.576095,-150,96857,52.67596,378.8144,97,537.4862,SAGvj9Ar25aG4i3Xxta1,59,3,23.79985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,105.3761,1600705216748,0.850102,133,96646,37.70532,397.051,97,640.4429,fFrU8brLxN5Wea7PQwJg,1243,1,30.08485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,29.11802,1599158114000,0.557239,104,97586,39.86433,316.0541,97,528.6805,fFrU8brLxN5Wea7PQwJg,41,3,25.83485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,112.6994,1598691016031,10.05293,107,96021,50.78843,451.2596,97,2235.264,fFrU8brLxN5Wea7PQwJg,722,3,24.90985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,28.94737,1598631017011,0.523789,105,95870,50.12342,464.3989,97,512.2994,fFrU8brLxN5Wea7PQwJg,352,2,26.21985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,86.15644,1601612715119,1.251193,-12,94929,57.34401,546.662,84,856.7866,UefkqbOojs07AR21i0ix,0,3,21.48985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,118.5047,1602270319572,7.007931,-171,97337,53.74897,337.4481,54,1996.569,I1t2t86ZQoGIAv1i30r9,86,3,23.14485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,100.3018,1602440426162,1.852651,147,97211,47.29592,348.2909,45,1116.451,I1t2t86ZQoGIAv1i30r9,75,3,22.98985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,116.5779,1601820615631,0.915367,-35,95357,41.11686,509.1643,63,660.0159,UefkqbOojs07AR21i0ix,989,1,23.68485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,74.2394,1600548316431,1.807275,109,96822,59.60701,381.8376,97,1100.047,fFrU8brLxN5Wea7PQwJg,10,3,24.14485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,39.08452,1599873617775,0.710469,108,97038,58.0595,363.1966,97,592.9631,fFrU8brLxN5Wea7PQwJg,0,3,22.02985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1602937066754,0.5,156,96960,41.601,369.9241,59,500,I1t2t86ZQoGIAv1i30r9,1866,0,25.28,ztx11HwFoJPuDJd1p7lLilvvkjg2
