serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
fKuASomCxPUz,238.8252,1601676015176,5.668798,-159,94129,55.13599,617.1189,85,1856.281,I1t2t86ZQoGIAv1i30r9,0,3,22.11985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1601468131186,0.5,171,96762,43.78288,387.0218,100,500,I1t2t86ZQoGIAv1i30r9,699,0,26.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25.66664,1602404424738,0.507928,152,97294,54.54848,341.1472,48,504.163,I1t2t86ZQoGIAv1i30r9,186,2,23.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,54.74592,1599305715168,0.757911,103,97083,45.53238,359.3173,97,610.0677,fFrU8brLxN5Wea7PQwJg,1730,3,26.06485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,105.0996,1600445101549,1.393267,112,97273,38.55331,342.954,97,927.9365,fFrU8brLxN5Wea7PQwJg,2512,3,31.05985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,35.57289,1598577915925,0.536155,-35,96265,47.83041,430.0628,97,518.4742,UefkqbOojs07AR21i0ix,0,1,24.89985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,48.96139,1600814714018,0.690247,-178,96345,47.75792,423.1221,93,585.3219,I1t2t86ZQoGIAv1i30r9,52,3,24.21485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,31.30453,1599167107595,0.591112,104,97745,44.83288,302.4161,97,544.2956,fFrU8brLxN5Wea7PQwJg,40,3,24.31485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,188.9778,1601537415273,22.21993,174,96039,52.48197,449.694,100,2759.942,I1t2t86ZQoGIAv1i30r9,674,3,22.69485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,219.8161,1598793613643,121.168,77,96468,57.17348,412.4611,97,3882.024,fFrU8brLxN5Wea7PQwJg,4,3,23.57485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,28.29988,1599087917102,0.544657,105,97283,49.13992,342.0934,97,522.6372,fFrU8brLxN5Wea7PQwJg,0,3,21.11485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,25,1598626818350,0.5,157,95882,48.86041,463.3541,97,500,SAGvj9Ar25aG4i3Xxta1,449,1,26.32985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,90.91331,1601776516732,0.833828,-51,94973,50.81546,542.8005,67,635.3281,UefkqbOojs07AR21i0ix,0,1,18.50985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1599075317311,0.5,105,97204,45.61689,348.8936,97,500,fFrU8brLxN5Wea7PQwJg,42,2,21.47985,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,135.5581,1599783914422,1.037592,-139,96926,47.94441,372.8582,97,732.9512,So15xXTTj0GAoVeomUCA,0,1,24.28485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,30.289,1599775517423,0.580865,110,96979,50.13643,368.2849,97,539.6683,fFrU8brLxN5Wea7PQwJg,0,3,23.29985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,87.89668,1602119116533,1.153436,-173,97604,58.14101,314.5095,72,802.9695,I1t2t86ZQoGIAv1i30r9,0,3,22.36985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,41.23698,1599687918427,0.617076,-15,97373,47.5769,334.3527,97,555.6703,UefkqbOojs07AR21i0ix,17,3,24.72985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,189.7282,1601575216813,45.80737,-157,95848,22.55518,466.3148,99,3238.531,I1t2t86ZQoGIAv1i30r9,82,3,37.85985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,36.18249,1601609111343,0.595537,-12,95004,57.12851,540.0809,84,546.2687,UefkqbOojs07AR21i0ix,0,3,21.56485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,76.02308,1598702414743,2.209355,-30,96053,55.20748,448.4769,97,1232.935,UefkqbOojs07AR21i0ix,679,3,24.14485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,28.93522,1600260915460,0.551227,-137,97135,46.4754,354.8365,97,525.8098,So15xXTTj0GAoVeomUCA,2657,3,27.95985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,36.27374,1599846618367,0.603725,109,96863,43.25286,378.2965,97,549.8823,fFrU8brLxN5Wea7PQwJg,42,3,26.88985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,51.34935,1602600318573,0.829791,104,96217,41.34687,434.2293,98,634.0436,fFrU8brLxN5Wea7PQwJg,3415,3,22.89485,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599705625211,0.5,69,97235,55.3455,346.2246,97,500,gbeSfksDVEIUEEz60y87,0,0,22.905,U6rvFKB7l8gOFQca1lMf8zP0i8X2
fKuASomCxPUz,34.09031,1602009320249,0.571222,-174,96099,52.06096,444.4788,83,535.2384,I1t2t86ZQoGIAv1i30r9,89,3,21.90985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,166.4723,1599578417957,5.905517,111,97823,22.21817,295.7323,97,1883.344,fFrU8brLxN5Wea7PQwJg,5035,3,37.95985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1601035825409,0.5,-32,95545,39.1855,492.7364,52,500,UefkqbOojs07AR21i0ix,195,0,26.95,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,97.51718,1598890817129,34.24857,104,96891,39.68733,375.8792,97,3046.157,fFrU8brLxN5Wea7PQwJg,659,3,24.42985,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,67.0414,1599881111482,0.970201,-137,97051,52.33695,362.0755,97,688.526,So15xXTTj0GAoVeomUCA,0,3,23.19985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,247.1414,1603329324650,2.403904,101,96905,53.20697,374.6707,89,1288.764,fFrU8brLxN5Wea7PQwJg,0,1,23.97485,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598274308303,0.5,-1515870811,96937,29.425,371.9086,0,500,SAGvj9Ar25aG4i3Xxta1,717,0,26.24,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,175.0505,1600155918840,62.22422,-141,97545,47.22841,319.5739,97,3441.157,So15xXTTj0GAoVeomUCA,3457,3,28.77985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,112.135,1600372217073,2.596495,107,97248,51.44993,345.1059,97,1339.747,fFrU8brLxN5Wea7PQwJg,38,3,25.42985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,34.10647,1599288612287,0.580925,103,97187,57.547,350.3575,97,539.6954,fFrU8brLxN5Wea7PQwJg,907,2,23.54985,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598397312948,0.5,-50,96465,36.49125,412.7206,97,500,UefkqbOojs07AR21i0ix,201,0,26.91061,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,154.6482,1601433614587,4.687785,-51,97000,57.2925,366.4736,101,1730.579,UefkqbOojs07AR21i0ix,0,3,21.49985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,250,1598545212959,16.49519,113,97028,21.43616,364.0585,97,2562.858,fFrU8brLxN5Wea7PQwJg,8291,2,35.00985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,148.6271,1601797524525,5.348879,-173,95337,53.98798,510.9137,91,1817.853,I1t2t86ZQoGIAv1i30r9,205,3,20.29485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,221.2339,1598809817166,89.03302,104,96750,53.04696,388.0584,97,3678.159,fFrU8brLxN5Wea7PQwJg,80,3,22.73985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,56.23856,1599655812504,0.746255,104,97441,49.02591,328.5071,97,605.9666,fFrU8brLxN5Wea7PQwJg,1337,3,25.13485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1599325519267,0.5,104,96928,44.01737,372.6852,97,500,fFrU8brLxN5Wea7PQwJg,915,2,26.87985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,42.92015,1601787616775,0.734993,-173,95158,46.80142,526.5818,92,601.9429,I1t2t86ZQoGIAv1i30r9,0,3,19.16985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,57.49955,1599910516713,0.951683,109,97275,57.81998,342.782,97,675.7778,fFrU8brLxN5Wea7PQwJg,1113,3,24.72985,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,36.08438,1598527517876,0.537969,159,96827,38.31082,381.4056,97,519.368,SAGvj9Ar25aG4i3Xxta1,1750,1,25.03485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,217.1613,1598599519526,14.12447,158,96037,46.2999,449.8684,97,2460.214,SAGvj9Ar25aG4i3Xxta1,613,2,26.04985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25.6714,1602400825873,0.506282,149,97313,58.71052,339.5125,48,503.3041,I1t2t86ZQoGIAv1i30r9,148,2,22.94985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,149.2871,1600146315577,1.787539,107,97518,65.69607,321.8926,97,1092.783,fFrU8brLxN5Wea7PQwJg,46,3,21.59985,ztx11HwFoJPuDJd1p7lLilvvkjg2
test,25,1598515814092,0.5,-128,97010,41.112,365.6116,97,500,null,523,0,26.07,null
fKuASomCxPUz,31.67027,1602010222144,0.550767,-173,96111,52.11046,443.436,83,525.5892,I1t2t86ZQoGIAv1i30r9,88,3,21.97985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,188.3495,1600826411824,1.470351,178,96333,55.8795,424.1629,93,963.5599,I1t2t86ZQoGIAv1i30r9,0,1,23.59985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,71.06239,1600700716458,0.677746,132,96662,36.1583,395.6671,97,580.4857,fFrU8brLxN5Wea7PQwJg,1794,1,29.96985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,27.17658,1599950115779,0.507238,-111,97575,50.87844,316.9981,97,503.8032,UefkqbOojs07AR21i0ix,0,1,25.87485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,47.61745,1598643916265,0.710916,157,95906,55.53548,461.2652,97,593.1295,SAGvj9Ar25aG4i3Xxta1,26,2,24.75485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,250,1599804616142,3.153573,-138,96867,49.61642,377.9513,97,1468.332,So15xXTTj0GAoVeomUCA,1961,1,24.26985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,111.0869,1599576621033,2.318468,107,98000,43.35786,280.5814,97,1264.825,fFrU8brLxN5Wea7PQwJg,10034,3,27.23985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,43.66136,1601907016475,0.655889,-8,96086,47.77843,445.6089,59,571.8115,UefkqbOojs07AR21i0ix,461,3,21.59985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1601504713971,0.5,-34,96412,51.20396,417.3136,95,500,UefkqbOojs07AR21i0ix,0,2,21.87485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,215.3745,1599467716761,6.183052,105,97359,49.62893,335.5559,97,1913.725,fFrU8brLxN5Wea7PQwJg,1160,3,23.50985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,50.97793,1599926717959,0.773789,109,97269,31.71525,343.2981,97,615.5539,fFrU8brLxN5Wea7PQwJg,4046,3,32.32485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,30.61074,1599954014776,0.566672,-138,97598,49.25292,315.0242,97,533.1221,So15xXTTj0GAoVeomUCA,0,2,24.81985,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,250,1600029313236,5.419651,64,97692,59.33001,306.9603,97,1826.548,gbeSfksDVEIUEEz60y87,10,2,25.11485,U6rvFKB7l8gOFQca1lMf8zP0i8X2
m3wjc22wyh88,42.94012,1599864617872,0.806443,107,96997,54.42746,366.7325,97,626.4914,fFrU8brLxN5Wea7PQwJg,0,3,23.46985,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598431511940,0.5,146,96808,40.8265,383.0469,97,500,SAGvj9Ar25aG4i3Xxta1,725,0,26.555,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,39.64742,1599810615531,0.700055,111,96928,54.15046,372.6852,97,589.0555,fFrU8brLxN5Wea7PQwJg,1306,3,24.00485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,113.4086,1598993415893,16.3351,106,96865,49.55592,378.1239,97,2556.406,fFrU8brLxN5Wea7PQwJg,39,3,23.98485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,39.90287,1598916915134,0.950293,105,97007,53.58247,365.8699,97,674.8105,fFrU8brLxN5Wea7PQwJg,0,3,21.18485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,28.29033,1603323019971,0.510982,101,96860,49.84195,378.5557,71,505.7493,fFrU8brLxN5Wea7PQwJg,0,1,24.96985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,59.3714,1601860814138,1.261535,-167,95747,50.01944,475.1148,96,862.2321,I1t2t86ZQoGIAv1i30r9,0,3,22.06985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,113.0755,1601079615237,2.342216,-68,95735,44.5894,476.1609,109,1271.567,UefkqbOojs07AR21i0ix,82,3,22.12985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,173.3135,1598661014766,30.09561,-30,96002,54.25447,452.912,97,2960.644,UefkqbOojs07AR21i0ix,0,3,24.07485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,51.19418,1598636418022,0.816958,107,95853,51.62343,465.8793,97,629.9193,fFrU8brLxN5Wea7PQwJg,85,3,25.92485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,135.9928,1601724623226,4.079189,-161,95015,25.42518,539.1158,100,1638.585,I1t2t86ZQoGIAv1i30r9,339,3,37.30985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,32.32278,1599766517570,0.629202,111,96957,46.31939,370.1831,97,560.8199,fFrU8brLxN5Wea7PQwJg,0,3,24.63985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,71.32243,1600036513033,0.874254,107,97835,56.53098,294.7044,97,647.8557,fFrU8brLxN5Wea7PQwJg,41,3,23.47985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,74.27095,1600563015810,1.112719,151,96776,61.34854,385.8115,80,779.1948,I1t2t86ZQoGIAv1i30r9,0,3,22.69985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,246.6878,1598685611055,843.3716,104,96039,56.19547,449.694,97,5165.547,fFrU8brLxN5Wea7PQwJg,287,3,24.41485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,250,1598583315299,4.927794,158,96157,48.31691,439.4394,97,1763.61,SAGvj9Ar25aG4i3Xxta1,0,2,24.57485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,120.2689,1600849812322,2.05045,-159,96386,55.95549,419.5674,88,1183.558,I1t2t86ZQoGIAv1i30r9,449,3,24.29985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,43.22302,1600101016011,0.563936,-112,97477,47.5574,325.4139,97,531.8414,UefkqbOojs07AR21i0ix,123,1,27.32985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,167.4646,1601802611641,1.486107,-34,95373,54.57999,507.7653,65,970.611,UefkqbOojs07AR21i0ix,582,1,20.74485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,250,1598586919624,20.52823,104,96207,47.70691,435.0971,97,2707.556,fFrU8brLxN5Wea7PQwJg,0,2,25.22485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,141.5303,1598601317192,5.765173,105,96029,42.09585,450.5642,97,1867.433,fFrU8brLxN5Wea7PQwJg,751,3,27.31485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1601409022692,0.5,112,97192,38.56683,349.9269,70,500,fFrU8brLxN5Wea7PQwJg,84,1,27.39485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,49.10175,1600296020837,0.644925,-135,97230,46.3049,346.6551,97,567.3506,So15xXTTj0GAoVeomUCA,0,3,25.15485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,51.42889,1599077119112,1.086148,104,97228,42.80936,346.8272,97,763.2064,fFrU8brLxN5Wea7PQwJg,41,3,23.09985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,140.308,1601635515813,3.553031,-160,94298,51.66445,602.1949,88,1547.229,I1t2t86ZQoGIAv1i30r9,387,3,22.63985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,27.80503,1602165920652,0.523223,-174,97353,44.92189,336.0716,66,512.0131,I1t2t86ZQoGIAv1i30r9,235,2,23.88985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,49.14229,1600104011347,0.619825,108,97492,46.01788,324.1257,97,556.8464,fFrU8brLxN5Wea7PQwJg,323,3,27.98985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,41.4489,1599362416860,0.628991,103,97095,51.26495,358.2831,97,560.7309,fFrU8brLxN5Wea7PQwJg,0,3,21.78485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,89.05741,1602177612833,1.512699,-175,97454,47.15891,327.3904,65,982.3436,I1t2t86ZQoGIAv1i30r9,865,3,24.32485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,92.38183,1599121217693,2.037421,106,97500,48.89192,323.4384,97,1179.341,fFrU8brLxN5Wea7PQwJg,946,3,23.11985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,40.29768,1601766615737,0.56878,-53,94857,52.04747,552.983,68,534.1048,UefkqbOojs07AR21i0ix,0,1,18.91485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1601460323489,0.5,113,96877,46.0909,377.0878,100,500,fFrU8brLxN5Wea7PQwJg,801,2,25.35485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1602937831467,0.5,157,96964,41.14537,369.5787,55,500,I1t2t86ZQoGIAv1i30r9,1614,0,25.80985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1602405325771,0.5,153,97294,55.09348,341.1472,48,500,I1t2t86ZQoGIAv1i30r9,229,2,23.15985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,30.5289,1600209312139,0.518592,121,97295,40.61734,341.0609,97,509.6608,fFrU8brLxN5Wea7PQwJg,71,1,30.22485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1601590521610,0.5,-159,95594,45.78839,488.4592,97,500,I1t2t86ZQoGIAv1i30r9,0,2,24.99485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,96.2314,1600337717570,0.800288,-106,97288,45.63889,341.6631,97,624.4641,UefkqbOojs07AR21i0ix,704,1,26.83985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1599072613407,0.5,105,97147,39.27683,353.8026,97,500,fFrU8brLxN5Wea7PQwJg,40,2,24.34985,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598356507968,0.5,178,96655,38.7935,396.2731,97,500,SAGvj9Ar25aG4i3Xxta1,2496,0,26.36,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,114.0886,1600850712365,1.845649,-161,96376,55.04147,420.4345,88,1113.946,I1t2t86ZQoGIAv1i30r9,909,3,24.67985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,72.58105,1600013117456,1.014549,109,97718,35.37778,304.7309,97,718.0944,fFrU8brLxN5Wea7PQwJg,3872,3,31.93485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,250,1602039021153,5.362426,-174,96515,60.64053,408.3896,79,1819.526,I1t2t86ZQoGIAv1i30r9,0,2,22.01485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,72.87583,1600247411920,0.685911,-138,97294,41.67936,341.1472,97,583.6544,So15xXTTj0GAoVeomUCA,7887,1,29.72485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1598752221567,0.5,98,95911,63.45406,460.83,97,500,fFrU8brLxN5Wea7PQwJg,0,2,19.65985,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,138.171,1598608515707,2.944355,158,95835,40.75984,467.4473,97,1422.92,SAGvj9Ar25aG4i3Xxta1,1363,3,27.82985,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,250,1600096812022,11.43531,64,97417,61.07503,330.5698,97,2320.497,gbeSfksDVEIUEEz60y87,49,2,24.45985,U6rvFKB7l8gOFQca1lMf8zP0i8X2
VFC7uk23p7z,29.69159,1599967514028,0.551041,-138,97627,51.74545,312.5356,97,525.7208,So15xXTTj0GAoVeomUCA,0,3,23.75985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,48.38371,1601916015941,0.679274,-11,96241,49.30994,432.1458,59,581.0815,UefkqbOojs07AR21i0ix,35,3,21.04485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,60.88756,1599645911023,0.796587,109,97627,57.34749,312.5356,97,623.2376,fFrU8brLxN5Wea7PQwJg,971,3,23.73985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,45.52077,1601849121832,0.832184,-167,95656,25.55019,483.0494,100,634.8058,I1t2t86ZQoGIAv1i30r9,8,3,32.79985,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,25,1599705629019,0.5,-139,97330,49.321,338.0501,97,500,So15xXTTj0GAoVeomUCA,0,0,23.795,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,92.52229,1601512526873,1.880378,109,96374,51.30045,420.6078,101,1126.278,fFrU8brLxN5Wea7PQwJg,0,3,21.24985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,106.1037,1600126515961,1.167144,109,97528,63.96355,321.0332,97,810.7848,fFrU8brLxN5Wea7PQwJg,0,3,23.33985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,223.4942,1603389623514,63.78839,101,97101,53.51548,357.7657,99,3457.581,fFrU8brLxN5Wea7PQwJg,13,3,22.33485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,73.6451,1598692516171,2.448422,-31,96029,53.23895,450.5642,97,1300.903,UefkqbOojs07AR21i0ix,485,3,24.50485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,77.93548,1602195617172,1.147347,-171,97512,48.03591,322.4077,62,799.4681,I1t2t86ZQoGIAv1i30r9,0,3,23.90485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,48.21113,1601559614471,0.739651,-34,95790,51.71696,471.3669,89,603.6143,UefkqbOojs07AR21i0ix,528,3,22.50985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1601745319031,0.5,-162,94694,27.71621,567.3083,100,500,I1t2t86ZQoGIAv1i30r9,3,2,31.92485,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599681918440,0.5,69,97280,56.0635,342.3517,97,500,gbeSfksDVEIUEEz60y87,86,0,24.88,U6rvFKB7l8gOFQca1lMf8zP0i8X2
,25,1598271902186,0.5,-135,96990,34.5355,367.3358,0,500,SAGvj9Ar25aG4i3Xxta1,1206,0,24.91,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,72.66445,1600394716436,1.213342,107,97210,56.99599,348.3772,97,836.4649,fFrU8brLxN5Wea7PQwJg,0,3,23.43485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,181.1551,1601446817468,22.05227,110,96985,53.05047,367.7676,100,2754.931,fFrU8brLxN5Wea7PQwJg,140,3,22.90485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,25,1599598266112,0.5,-156,97806,40.443,297.1888,97,500,SAGvj9Ar25aG4i3Xxta1,75,0,26.57,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,37.29556,1599958215057,0.542289,-110,97592,48.68192,315.5394,97,521.4843,UefkqbOojs07AR21i0ix,0,1,25.63985,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,25,1600771215082,0.5,-164,96556,41.37134,404.84,82,500,So15xXTTj0GAoVeomUCA,7476,1,28.65485,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,52.97222,1598615112357,0.601434,158,95818,39.45333,468.9282,97,548.8765,SAGvj9Ar25aG4i3Xxta1,1440,1,27.66985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,59.54315,1598647215398,1.07953,107,95937,52.99845,458.5671,97,759.1633,fFrU8brLxN5Wea7PQwJg,65,3,24.58485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,154.1207,1600281317681,1.635061,109,97138,48.51891,354.5779,97,1033.801,fFrU8brLxN5Wea7PQwJg,37,3,26.47485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,155.2437,1599148213971,16.30598,109,97491,21.42966,324.2113,97,2555.226,fFrU8brLxN5Wea7PQwJg,3124,3,35.09485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,119.3048,1600277716184,1.232474,108,97077,49.37041,359.8343,97,846.8143,fFrU8brLxN5Wea7PQwJg,54,3,27.08485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,159.5347,1598540713536,1.813496,107,96699,28.36923,392.4675,97,1102.32,fFrU8brLxN5Wea7PQwJg,2960,3,29.25985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1598728816407,0.5,19,95972,49.05092,455.5219,97,500,UefkqbOojs07AR21i0ix,178,0,25.47985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,134.064,1601406615972,5.595754,-50,97159,52.01696,352.7689,106,1847.702,UefkqbOojs07AR21i0ix,53,3,22.34985,ztx11HwFoJPuDJd1p7lLilvvkjg2
